Comment,Description,Designator,Quantity,Manufacturer Part Number,Manufacturer
"CRCW060322R0FKEA","RES Thick Film, 330O, 1%, 0.1W, 100ppm/°C, 0603, RES Thick Film, 22O, 1%, 0.1W, 100ppm/°C, 0603","R22, R29, R30","3","",""
"CRCW06034K70FKEA","RES Thick Film, 4.7kO, 1%, 0.1W, 100ppm/°C, 0603","R24, R26, R27","3","",""
"CRCW06031M00FKEA","RES Thick Film, 1MO, 1%, 0.1W, 100ppm/°C, 0603","R25","1","",""
"CG0603MLC-05E","ESD Protector, 5 V Supply, -40 to 85 degC, 1.6 x 0.8 x 0.55 mm SMD, RoHS, Tape and Reel","RV1, RV2","2","","Bourns"
"PEC11R-4215F-S0024","12 mm Incremental Encoder, 24 Detent, -30 to 70 degC, 5-Pin THD, RoHS, Bulk","SW1","1","",""
"1825910-6","Tact Switch, SPST-NO, 0.05 A, -35 to 85 degC, 4-Pin THD, RoHS, Bulk","SW2","1","","TE Connectivity"
"SN74LVC2G34DRLR","IC BUFFER NON-INVERT 5.5V 6SOT","U1","1","",""
"TPS562202DRLR","No Description Available","U2, U4, U6, U8","4","",""
"SYM-DRV8210DSG","11V, 1A H-bridge motor driver, PWM, PH/EN, ½ bridge control, with low power sleep mode","U3, U5, U7","3","","Texas Instruments"
"ATmega32U4-AU","8-bit AVR Microcontroller, 2.7-5.5V, 16MHz, 32KB Flash, 1KB EEPROM, 2.5KB SRAM, USB Controller, 44-pin TQFP, Industrial Grade (-40°C to 85°C), Ext Osc","U9","1","",""
"FOXSDLF/160-20","Resistance Weld SMD Crystal, 16 MHz, +/- 30 ppm, 20 pF, -20 to 70 degC, 2-Pin SMD, RoHS, Tape and Reel","Y1","1","",""
