Altium Designer Pick and Place Locations
C:\Users\sam\Platform_V2\Project Outputs for Phantom_Platform\Pick Place for PCB_V2.csv

========================================================================================================================
File Design Information:

Date:       01/12/21
Time:       17:05
Revision:   a7a7defcc5bf7fd3e6de1c4c0bc0b5fa10b4b24c
Variant:    No variations
Units used: mil

"Designator","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation"
"R28","TopLayer","RESC1609X50X30NL8T20","1696.409","232.024","180"
"R29","TopLayer","FP-CRCW0603-e3-IPC_B","2230.346","502.992","90"
"R30","TopLayer","FP-CRCW0603-e3-IPC_B","2171.291","502.992","90"
"RV1","TopLayer","BOUR-CG0603-2_V","2272.000","422.024","0"
"RV2","TopLayer","BOUR-CG0603-2_V","2137.000","423.024","180"
"SW1","TopLayer","BOUR-PEC11R-4XXXF-SXXXX_V","3824.835","374.433","0"
"U3","TopLayer","DSG0008A-MFG","2368.142","3297.662","270"
"U5","TopLayer","DSG0008A-MFG","2939.008","3293.724","270"
"U7","TopLayer","DSG0008A-MFG","3561.739","3295.693","270"
"Y1","TopLayer","FOX-FOXSDLF160-20_V","2061.008","1345.024","180"
"C41","TopLayer","FP-GRM21B-0_2-e0_2_0_7-IPC_C","3622.236","3126.795","90"
"R21","TopLayer","FP-CRCW0603-e3-IPC_B","2667.354","631.701","270"
"R23","TopLayer","RESC1609X50X30NL8T20","2727.000","668.024","90"
"J4","TopLayer","FP-53047-0210-MFG","2346.336","3580.729","180"
"J6","TopLayer","FP-53047-0210-MFG","2923.102","3605.372","180"
"J8","TopLayer","FP-53047-0210-MFG","3516.764","3611.748","180"
"U2","TopLayer","DRL0006A","2442.945","2651.992","270"
"U4","TopLayer","DRL0006A","3045.307","2632.307","270"
"U8","TopLayer","DRL0006A","2702.787","781.914","270"
"C46","TopLayer","FP-GRM21B-0_15-IPC_A","2848.457","774.039","270"
"C47","TopLayer","FP-GRM21B-0_2-e0_2_0_7-IPC_C","2753.968","1262.229","90"
"C48","TopLayer","FP-GRM21B-0_2-e0_2_0_7-IPC_C","2683.102","1262.229","90"
"C49","TopLayer","FP-C1608-080-0_1-IPC_B","2624.047","1258.292","270"
"C11","TopLayer","FP-GRM32-MFG","2596.488","3459.079","0"
"C23","TopLayer","FP-GRM32-MFG","3200.819","3460.097","0"
"C24","TopLayer","FP-GRM32-MFG","3196.882","3332.144","0"
"C35","TopLayer","FP-GRM32-MFG","3860.268","3463.016","0"
"C36","TopLayer","FP-GRM32-MFG","3860.425","3341.362","0"
"C25","TopLayer","FP-C0603-CG-IPC_B","3013.811","3309.472","270"
"C18","TopLayer","FP-C0603-CG-IPC_B","2289.402","3310.490","90"
"C30","TopLayer","FP-C0603-CG-IPC_B","2864.205","3305.535","90"
"C42","TopLayer","FP-C0603-CG-IPC_B","3459.835","3328.677","90"
"R9","TopLayer","FP-CRCW0603-e3-IPC_C","2367.536","3218.921","0"
"R13","TopLayer","FP-CRCW0603-e3-IPC_C","2935.071","3218.921","0"
"R17","TopLayer","FP-CRCW0603-e3-IPC_C","3557.724","3214.984","0"
"C12","TopLayer","FP-GRM32-MFG","2596.488","3344.906","0"
"J1","TopLayer","LCD2004","2183.102","1862.622","0"
