Altium Designer Pick and Place Locations
C:\Users\sam\Platform_V2\Project Outputs for Phantom_Platform\Pick Place for PCB_V2.txt

========================================================================================================================
File Design Information:

Date:       03/11/21
Time:       14:32
Revision:   471a3ca86b4d75f319b4a65f201b9d318d7c0fd0
Variant:    No variations
Units used: mil

Designator Comment               Layer    Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                              Ref-X(mil) Ref-Y(mil) 
U5         SYM-DRV8210DSG        TopLayer DSG0008A-MFG                 2937.039      3268.134      270      "11V, 1A H-bridge motor driver, PWM, PH/EN, ½ bridge control, with low power sleep mode"                                                                 2937.039   3268.134   
U7         SYM-DRV8210DSG        TopLayer DSG0008A-MFG                 3559.770      3270.102      270      "11V, 1A H-bridge motor driver, PWM, PH/EN, ½ bridge control, with low power sleep mode"                                                                 3559.770   3270.102   
Y1         FOXSDLF/160-20        TopLayer FOX-FOXSDLF160-20_V          2059.039      1319.433      180      "Resistance Weld SMD Crystal, 16 MHz, +/- 30 ppm, 20 pF, -20 to 70 degC, 2-Pin SMD, RoHS, Tape and Reel"                                                 2059.039   1319.433   
C41        GRM21BR61A226ME44     TopLayer FP-GRM21B-0_2-e0_2_0_7-IPC_C 3620.268      3101.205      90       "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 10V"                                                                 3620.268   3101.205   
R21        CRCW060352K3FKEA      TopLayer FP-CRCW0603-e3-IPC_B         2665.386      606.111       270      "RES Thick Film, 52.3kO, 1%, 0.1W, 100ppm/°C, 0603"                                                                                                      2665.386   606.111    
R23        CRCW060310K0FKEA      TopLayer RESC1609X50X30NL8T20         2725.032      642.433       90       "Chip Resistor, 10 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                                       2725.032   642.433    
J4         53047-0210            TopLayer FP-53047-0210-MFG            2344.367      3555.139      180      "1.25mm (.049") Pitch PicoBlade Wire-to-Board Header, Vertical, with Friction Lock, 2 Circuits"                                                          2344.367   3572.855   
J6         53047-0210            TopLayer FP-53047-0210-MFG            2921.134      3579.782      180      "1.25mm (.049") Pitch PicoBlade Wire-to-Board Header, Vertical, with Friction Lock, 2 Circuits"                                                          2921.134   3597.498   
J8         53047-0210            TopLayer FP-53047-0210-MFG            3514.795      3586.157      180      "1.25mm (.049") Pitch PicoBlade Wire-to-Board Header, Vertical, with Friction Lock, 2 Circuits"                                                          3514.795   3603.874   
U2         TPS562202DRLR         TopLayer DRL0006A                     2440.976      2626.402      270      "Switching Voltage Regulators 4.3-V to 17-V input, 2-A output, synchronous step-down voltage converter 6-SOT-5X3 -40 to 150"                             2440.976   2626.402   
U4         TPS562202DRLR         TopLayer DRL0006A                     3043.339      2606.717      270      "Switching Voltage Regulators 4.3-V to 17-V input, 2-A output, synchronous step-down voltage converter 6-SOT-5X3 -40 to 150"                             3043.339   2606.717   
U8         TPS562202DRLR         TopLayer DRL0006A                     2700.819      756.323       270      "Switching Voltage Regulators 4.3-V to 17-V input, 2-A output, synchronous step-down voltage converter 6-SOT-5X3 -40 to 150"                             2700.819   756.323    
C46        GRM21BR61E106MA73L    TopLayer FP-GRM21B-0_15-IPC_A         2846.488      748.449       270      "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X5R, 15%, 20%, 25V"                                                                 2846.488   748.449    
C47        GRM21BR61A226ME44     TopLayer FP-GRM21B-0_2-e0_2_0_7-IPC_C 2752.000      1236.638      90       "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 10V"                                                                 2752.000   1236.638   
C48        GRM21BR61A226ME44L    TopLayer FP-GRM21B-0_2-e0_2_0_7-IPC_C 2681.134      1236.638      90       "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 10V"                                                                 2681.134   1236.638   
C49        C1608X7R1E104K080AA   TopLayer FP-C1608-080-0_1-IPC_B       2622.079      1232.701      270      "Multilayer Ceramic Capacitors 100nF ±10% 25V X7R SMD 0603"                                                                                              2622.079   1232.701   
C11        GRM32ER61E226KE15L    TopLayer FP-GRM32-MFG                 2594.520      3433.488      0        "CAP CER 22UF 25V X5R 1210"                                                                                                                              2594.520   3433.488   
C23        GRM32ER61E226KE15L    TopLayer FP-GRM32-MFG                 3198.850      3434.506      0        "CAP CER 22UF 25V X5R 1210"                                                                                                                              3198.850   3434.506   
C24        GRM32ER61E226KE15L    TopLayer FP-GRM32-MFG                 3194.913      3306.553      0        "CAP CER 22UF 25V X5R 1210"                                                                                                                              3194.913   3306.553   
C35        GRM32ER61E226KE15L    TopLayer FP-GRM32-MFG                 3858.299      3437.425      0        "CAP CER 22UF 25V X5R 1210"                                                                                                                              3858.299   3437.425   
C36        GRM32ER61E226KE15L    TopLayer FP-GRM32-MFG                 3858.457      3315.772      0        "CAP CER 22UF 25V X5R 1210"                                                                                                                              3858.457   3315.772   
C25        C0603C104Z3VACTU      TopLayer FP-C0603-CG-IPC_B            3011.843      3283.882      270      "KEMET C0603C104Z3VACTU / CAP .10UF 25V CERAMIC Y5V 0603"                                                                                                3011.843   3283.882   
C18        C0603C104Z3VACTU      TopLayer FP-C0603-CG-IPC_B            2287.433      3284.900      90       "KEMET C0603C104Z3VACTU / CAP .10UF 25V CERAMIC Y5V 0603"                                                                                                2287.433   3284.900   
C30        C0603C104Z3VACTU      TopLayer FP-C0603-CG-IPC_B            2862.236      3279.945      90       "KEMET C0603C104Z3VACTU / CAP .10UF 25V CERAMIC Y5V 0603"                                                                                                2862.236   3279.945   
C42        C0603C104Z3VACTU      TopLayer FP-C0603-CG-IPC_B            3457.866      3303.087      90       "KEMET C0603C104Z3VACTU / CAP .10UF 25V CERAMIC Y5V 0603"                                                                                                3457.866   3303.087   
R9         CRCW0603100KFKEA      TopLayer FP-CRCW0603-e3-IPC_C         2365.567      3193.331      0        "RES Thick Film, 100kO, 1%, 0.1W, 100ppm/°C, 0603"                                                                                                       2365.567   3193.331   
R13        CRCW0603100KFKEA      TopLayer FP-CRCW0603-e3-IPC_C         2933.102      3193.331      0        "RES Thick Film, 100kO, 1%, 0.1W, 100ppm/°C, 0603"                                                                                                       2933.102   3193.331   
R17        CRCW0603100KFKEA      TopLayer FP-CRCW0603-e3-IPC_C         3555.756      3189.394      0        "RES Thick Film, 100kO, 1%, 0.1W, 100ppm/°C, 0603"                                                                                                       3555.756   3189.394   
C12        GRM32ER61E226KE15L    TopLayer FP-GRM32-MFG                 2594.520      3319.315      0        "CAP CER 22UF 25V X5R 1210"                                                                                                                              2594.520   3319.315   
J1         GRPB041VWVN-RC        TopLayer LCD2004                      2181.134      1837.032      0        "CONN HEADER VERT 4POS 1.27MM"                                                                                                                           252.000    3020.102   
